row1,col1,row2,col2,event_type1,event_type2
51,1,51,40,-1,1
75,1,75,14,1,1
75,1,76,15,1,1
75,1,77,29,1,-1
75,1,77,31,1,-1
75,1,77,32,1,-1
75,1,74,36,1,-1
75,1,73,37,1,-1
75,1,73,38,1,-1
75,1,74,40,1,-1
99,1,98,11,1,-1
99,1,97,14,1,-1
99,1,98,15,1,-1
99,1,99,41,1,1
99,1,98,44,1,1
99,1,97,58,1,1
99,1,99,59,1,1
99,1,98,69,1,1
104,1,105,14,1,-1
117,1,119,2,-1,-1
117,1,118,44,-1,-1
117,1,118,110,-1,1
117,1,116,114,-1,1
117,1,116,120,-1,1
129,1,127,120,-1,-1
129,1,130,128,-1,1
129,1,127,130,-1,1
129,1,128,131,-1,1
129,1,128,133,-1,1
142,1,142,40,-1,-1
142,1,142,41,-1,-1
142,1,143,57,-1,-1
142,1,141,113,-1,1
142,1,140,114,-1,1
142,1,140,125,-1,-1
142,1,142,126,-1,1
142,1,140,128,-1,-1
142,1,141,130,-1,-1
142,1,144,131,-1,1
142,1,144,149,-1,1
107,2,105,14,1,-1
119,2,118,44,-1,-1
119,2,118,110,-1,1
119,2,120,121,-1,1
119,2,120,123,-1,1
66,11,66,14,-1,-1
66,11,65,37,-1,1
66,11,65,40,-1,1
98,11,97,14,-1,-1
98,11,98,15,-1,-1
98,11,96,17,-1,-1
98,11,96,18,-1,-1
98,11,99,41,-1,1
98,11,98,44,-1,1
98,11,97,58,-1,1
98,11,99,59,-1,1
98,11,98,69,-1,1
66,14,65,37,-1,1
66,14,65,40,-1,1
75,14,76,15,1,1
75,14,77,29,1,-1
75,14,77,31,1,-1
75,14,77,32,1,-1
75,14,74,36,1,-1
75,14,73,37,1,-1
75,14,73,38,1,-1
75,14,74,40,1,-1
97,14,98,15,-1,-1
97,14,96,17,-1,-1
97,14,96,18,-1,-1
97,14,99,41,-1,1
97,14,98,44,-1,1
97,14,97,58,-1,1
97,14,99,59,-1,1
97,14,98,69,-1,1
76,15,78,27,1,1
76,15,77,29,1,-1
76,15,77,31,1,-1
76,15,77,32,1,-1
76,15,74,36,1,-1
76,15,74,40,1,-1
98,15,96,17,-1,-1
98,15,96,18,-1,-1
98,15,99,41,-1,1
98,15,98,44,-1,1
98,15,97,58,-1,1
98,15,99,59,-1,1
98,15,98,69,-1,1
15,17,15,18,1,1
87,17,87,18,1,1
87,17,88,26,1,-1
87,17,87,27,1,-1
96,17,96,18,-1,-1
96,17,98,44,-1,1
96,17,97,58,-1,1
96,17,98,69,-1,1
96,17,94,84,-1,1
39,18,40,27,-1,1
39,18,37,40,-1,1
87,18,88,26,1,-1
87,18,87,27,1,-1
96,18,98,44,-1,1
96,18,97,58,-1,1
96,18,98,69,-1,1
96,18,94,84,-1,1
70,26,71,29,1,1
70,26,69,31,1,1
70,26,70,32,1,1
88,26,87,27,-1,-1
78,27,80,28,1,-1
78,27,77,29,1,-1
78,27,77,31,1,-1
78,27,77,32,1,-1
78,27,80,44,1,1
80,28,80,44,-1,1
71,29,69,31,1,1
71,29,70,32,1,1
71,29,73,37,1,-1
71,29,73,38,1,-1
77,29,77,31,-1,-1
77,29,77,32,-1,-1
69,31,70,32,1,1
77,31,77,32,-1,-1
74,36,73,37,-1,-1
74,36,73,38,-1,-1
74,36,74,40,-1,-1
65,37,65,40,1,1
73,37,73,38,-1,-1
73,37,74,40,-1,-1
73,38,74,40,-1,-1
142,40,142,41,-1,-1
142,40,143,57,-1,-1
142,40,141,113,-1,1
142,40,140,114,-1,1
142,40,140,125,-1,-1
142,40,142,126,-1,1
142,40,140,128,-1,-1
142,40,141,130,-1,-1
142,40,144,131,-1,1
142,40,144,149,-1,1
99,41,98,44,1,1
99,41,97,58,1,1
99,41,99,59,1,1
99,41,98,69,1,1
142,41,143,57,-1,-1
142,41,141,113,-1,1
142,41,140,114,-1,1
142,41,140,125,-1,-1
142,41,142,126,-1,1
142,41,140,128,-1,-1
142,41,141,130,-1,-1
142,41,144,131,-1,1
142,41,144,149,-1,1
98,44,97,58,1,1
98,44,99,59,1,1
98,44,98,69,1,1
118,44,118,110,-1,1
118,44,116,114,-1,1
118,44,116,120,-1,1
118,44,120,121,-1,1
118,44,120,123,-1,1
143,57,141,113,-1,1
143,57,142,126,-1,1
143,57,141,130,-1,-1
143,57,144,131,-1,1
143,57,144,149,-1,1
97,58,99,59,1,1
97,58,98,69,1,1
99,59,98,69,1,1
118,110,116,114,1,1
118,110,116,120,1,1
118,110,120,121,1,1
118,110,120,123,1,1
141,113,140,114,1,1
141,113,140,125,1,-1
141,113,142,126,1,1
141,113,140,128,1,-1
141,113,141,130,1,-1
116,114,116,120,1,1
140,114,140,125,1,-1
140,114,142,126,1,1
140,114,140,128,1,-1
140,114,141,130,1,-1
127,120,127,130,-1,1
127,120,128,131,-1,1
127,120,128,133,-1,1
120,121,120,123,1,1
120,121,122,125,1,1
120,123,122,125,1,1
122,125,123,126,1,1
122,125,124,128,1,1
140,125,142,126,-1,1
140,125,140,128,-1,-1
140,125,141,130,-1,-1
123,126,124,128,1,1
142,126,140,128,1,-1
142,126,141,130,1,-1
142,126,144,131,1,1
142,126,144,149,1,1
130,128,128,131,1,1
130,128,128,133,1,1
130,128,132,136,1,1
140,128,141,130,-1,-1
147,128,147,142,1,1
127,130,128,131,1,1
127,130,128,133,1,1
134,130,132,136,1,1
134,130,133,139,1,1
128,131,128,133,1,1
144,131,144,149,1,1
132,136,133,139,1,1
