V1
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,2
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.75
data_file,list(name = "SRP_wt_rho_table.txt", size = 247814, type = "text/plain", datapath = "/tmp/Rtmp1o5yKL/6f8f0e2a2ac1adf853cef602/0.txt")
diverging,FALSE
dws,1
event_gap,1
height,14
I,0.6
I_length,default
linear_coeff,0.15
log_colors,FALSE
noise_length,3
numbering,TRUE
numbering_interval,5
numbering_offset,0
outfile,PID_plus50
P,0.225
p_value,1e-04
ramp_length,40
width,14
window_size,5
ylim,0,20
