V1
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,2
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.6
data_file,list(name = "F_subtract_3.txt", size = 122167, type = "text/plain", datapath = "/tmp/Rtmp1o5yKL/7671befdf9ad02288e61c081/0.txt")
diverging,TRUE
dws,1
event_gap,0
height,14
I,0.3
I_length,default
linear_coeff,0.15
log_colors,TRUE
noise_length,3
numbering,TRUE
numbering_interval,5
numbering_offset,0
outfile,F_subtract_3
P,0.25
p_value,1e-04
ramp_length,40
width,14
window_size,7
ylim,-20,20
