row1,col1,row2,col2,event_type1,event_type2
45,1,44,29,-3,1
45,1,45,41,-3,3
45,1,45,42,-3,3
75,1,76,27,1,1
75,1,76,33,1,-1
75,1,75,58,1,1
97,1,98,11,1,-1
97,1,96,14,1,-1
97,1,96,15,1,-1
97,1,97,17,1,-1
97,1,96,18,1,-1
97,1,96,19,1,-1
97,1,97,42,1,3
118,1,117,2,-1,-1
118,1,118,110,-1,1
118,1,118,121,-1,1
118,1,119,123,-1,1
77,2,76,27,1,1
77,2,78,28,1,-1
77,2,77,29,1,-1
77,2,77,31,1,-1
77,2,77,32,1,-1
77,2,76,33,1,-1
108,2,107,97,1,1
117,2,118,110,-1,1
117,2,116,120,-1,1
117,2,118,121,-1,1
127,2,127,120,-1,-1
127,2,128,127,-1,1
127,2,126,131,-1,1
127,2,128,133,-1,3
66,11,66,14,-1,-1
66,11,65,36,-1,1
66,11,65,41,-1,1
98,11,97,17,-1,-1
98,11,97,42,-1,3
28,14,27,26,3,1
28,14,28,28,3,1
28,14,28,31,3,1
28,14,29,32,3,1
66,14,65,36,-1,1
66,14,65,41,-1,1
96,14,96,15,-1,-1
96,14,97,17,-1,-1
96,14,96,18,-1,-1
96,14,96,19,-1,-1
96,14,97,42,-1,3
96,14,95,59,-1,1
96,14,95,97,-1,1
16,15,16,17,1,1
25,15,24,19,1,1
25,15,24,27,1,1
96,15,97,17,-1,-1
96,15,96,18,-1,-1
96,15,96,19,-1,-1
96,15,97,42,-1,3
96,15,95,59,-1,1
96,15,95,97,-1,1
86,17,86,18,1,1
86,17,87,27,1,-1
86,17,87,86,1,3
97,17,96,18,-1,-1
97,17,96,19,-1,-1
97,17,97,42,-1,3
21,18,21,19,3,1
86,18,87,27,1,-1
86,18,87,86,1,3
96,18,96,19,-1,-1
96,18,97,42,-1,3
96,18,95,59,-1,1
96,18,95,97,-1,1
24,19,24,27,1,1
96,19,97,42,-1,3
96,19,95,59,-1,1
96,19,95,97,-1,1
89,24,88,26,-1,-1
89,24,88,31,-1,-1
89,24,90,44,-1,1
27,26,28,28,1,1
27,26,28,31,1,1
88,26,87,27,-1,-1
88,26,88,31,-1,-1
88,26,87,86,-1,3
76,27,77,29,1,-1
76,27,77,31,1,-1
76,27,77,32,1,-1
76,27,76,33,1,-1
76,27,75,58,1,1
87,27,88,31,-1,-1
87,27,87,86,-1,3
28,28,28,31,1,1
28,28,29,32,1,1
78,28,77,29,-1,-1
78,28,77,31,-1,-1
78,28,77,32,-1,-1
44,29,45,41,1,3
44,29,45,42,1,3
47,29,47,31,1,1
47,29,47,40,1,1
69,29,69,31,1,1
69,29,69,32,1,1
77,29,77,31,-1,-1
77,29,77,32,-1,-1
77,29,76,33,-1,-1
28,31,29,32,1,1
47,31,47,40,1,1
69,31,69,32,1,1
77,31,77,32,-1,-1
77,31,76,33,-1,-1
88,31,87,86,-1,3
77,32,76,33,-1,-1
76,33,75,58,-1,1
65,36,64,37,1,1
65,36,64,38,1,1
65,36,65,41,1,1
73,36,73,37,-1,-1
73,36,73,38,-1,-1
73,36,73,57,-1,3
64,37,64,38,1,1
64,37,65,41,1,1
64,37,63,42,1,3
73,37,73,38,-1,-1
73,37,73,57,-1,3
64,38,65,41,1,1
64,38,63,42,1,3
73,38,73,57,-1,3
35,40,35,41,1,3
45,41,45,42,3,3
93,57,93,58,3,1
95,59,95,97,1,1
118,110,118,121,1,1
118,110,119,123,1,1
115,114,116,120,1,1
138,114,139,125,1,-1
127,120,128,127,-1,1
127,120,126,131,-1,1
127,120,128,133,-1,3
118,121,119,123,1,1
121,125,121,126,1,1
128,127,128,133,1,3
