V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0,0,9.8756,2.912,1.0833,0.6164,0.0116,0,2.8466,1.9024,0.4335,1.3074,4.42,0.3213,0.4354,1.4942,0.0702,0.0376,0.5004,0.0374,0.3027,0.1663,0.1109,0.4211,0.6937,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.1984,4.1076,5.8872,1.7819,0,1.1435,0.1898,0.379,1.3284,0,1.1137,2.7484,2.3293,0,1.1429,1.1312,0,0,0.2522,0.0775,0.4031,0.8593,0.1713,0,0.0739,0.1706,0.5108,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5083,8.101,2.4454,1.8353,0.2147,0.6428,0.2138,0.2136,0.714,2.5143,0,3.1035,2.1113,0,0.0656,4.6252,0,0,0.1975,0.1974,0,1.5658,0.195,0,0,0,0,0.2195,0.316,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.7271,0.8445,8.6945,3.829,0.8642,0.3222,0.1328,0,0,1.0351,0.7843,1.7302,2.1968,0.1279,3.4339,2.6778,0,0,0.4063,0,0,0.1208,0,0.366,0.294,0,0,0,1.4125,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,9.0525,3.0191,0.9542,0.136,0.3872,0,0,1.831,0.276,2.9055,4.6698,0.0404,1.8352,4.4297,0,0,0,0.0782,1.9573,0.9749,0.0843,0.4745,0.0337,0.1326,0.3228,0.0579,0.3472,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.5589,0,6.3064,3.6918,1.2248,0,0.1627,0.1626,0,1.4206,0.3999,1.4678,3.3075,0.2337,1.322,4.0606,0,0.0761,0.1794,0.1121,0.3737,2.8252,0,0.4636,0.4216,0.0731,0,0,0.1398,0,2.0162,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.8862,0,7.2805,4.6755,0.9488,0,0,0.0674,0,0.9712,0.4638,2.0637,3.4668,0.0563,1.3869,1.8881,0,0,0.2263,0,0,1.4463,0.1963,0.3674,0.5231,0.0853,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.5009,0,5.1553,2.7395,0.8183,0,0.0996,0.0039,0,1.4868,0.3044,1.3549,4.7066,0.3752,2.0829,3.3331,0.1174,0.0505,0.7488,0.0446,0,1.0261,0.2976,0.6203,0.8609,0.1123,0,0.0748,0,0.0852,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.9129,0,6.9712,3.3049,1.3321,0.1501,0.2248,0.1353,0.0744,1.3051,0.4844,2.7211,6.1102,0.4234,2.2082,3.3489,0.0624,0.05,0.4062,0,0,1.3384,0.0478,0.2489,0.5093,0.1214,0.1876,0.0303,0,0.0538,0,0.2161,0.0207,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.8226,0.4818,6.8216,4.4134,0.7322,0,0,0,0,0.4515,0.5825,2.9121,4.797,0.2035,1.8508,2.9731,0,0,0.4314,0.2762,0,0.787,0,0.4237,0.35,0,0.0014,0.228,0.2278,0,0,0.191,0,0.0394,0.002,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
