V1
agreement,1
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,2
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.5
data_file,list(name = "SRP_wt_rho_table.txt", size = 247814, type = "text/plain", datapath = "/tmp/RtmpBCXlZL/20317508938e17bb90009759/0.txt")
diverging,FALSE
dws,1.25
event_gap,1
height,14
I,0.4
I_length,default
linear_coeff,0.15
log_colors,FALSE
noise_length,3
numbering,TRUE
numbering_interval,5
numbering_offset,20
outfile,SRP_averaged_replicates
P,0.25
print_replicate,FALSE
p_value,1e-04
ramp_length,30
width,14
window_size,9
ylim,0,20
