row1,col1,row2,col2,event_type1,event_type2
104,1,106,86,1,3
104,1,106,97,1,3
107,2,106,86,1,3
107,2,106,97,1,3
127,2,125,126,-1,1
127,2,129,127,-1,1
127,2,128,128,-1,1
100,11,98,14,-1,-1
100,11,99,15,-1,-1
100,11,99,17,-1,-1
100,11,99,18,-1,-1
100,11,99,97,-1,3
98,14,99,15,-1,-1
98,14,99,17,-1,-1
98,14,99,18,-1,-1
98,14,97,58,-1,1
98,14,99,97,-1,3
24,15,26,27,1,1
99,15,99,17,-1,-1
99,15,99,18,-1,-1
99,15,97,58,-1,1
99,15,99,97,-1,3
20,17,21,18,1,3
86,17,87,18,1,1
99,17,99,18,-1,-1
99,17,97,58,-1,1
99,17,99,97,-1,3
87,18,89,27,1,-1
87,18,89,31,1,-1
87,18,89,86,1,3
99,18,97,58,-1,1
99,18,99,97,-1,3
90,26,89,27,-1,-1
90,26,89,31,-1,-1
90,26,89,86,-1,3
39,27,39,28,1,1
39,27,39,40,1,1
89,27,89,31,-1,-1
89,27,89,86,-1,3
39,28,39,40,1,1
82,28,80,29,-1,-1
82,28,80,31,-1,-1
80,29,80,31,-1,-1
89,31,89,86,-1,3
47,40,45,41,1,3
47,40,45,42,1,3
45,41,45,42,3,3
95,44,95,57,1,3
95,44,97,58,1,1
95,57,97,58,3,1
97,58,99,97,1,3
106,86,106,97,3,3
117,114,119,120,1,1
119,120,121,121,1,1
131,120,129,127,-1,1
131,120,130,131,-1,1
131,120,132,133,-1,3
124,125,125,126,1,1
129,127,128,128,1,1
129,127,130,131,1,1
128,128,130,131,1,1
130,131,132,133,1,3
