V1
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,2
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.8
data_file,list(name = "F_subtract_1.txt", size = 126328, type = "text/plain", datapath = "/tmp/RtmpYf74tc/cc360bca04c65579aaac2186/0.txt")
diverging,TRUE
dwp,0.1
event_gap,0
height,14
I,0.6
linear_coeff,0.15
log_colors,TRUE
noise_length,3
numbering,TRUE
numbering_interval,5
outfile,F_subtract_1
P,0.25
p_value,1e-04
ramp_length,40
width,14
window_size,7
ylim,-20,20
