row1,col1,row2,col2,event_type1,event_type2
70,1,72,27,1,-1
70,1,68,31,1,-1
73,11,72,27,1,-1
84,11,85,14,-1,-1
84,11,86,42,-1,1
85,14,87,18,-1,-1
85,14,86,42,-1,1
88,17,87,18,-1,-1
88,17,89,40,-1,1
88,17,86,42,-1,1
88,17,88,86,-1,1
87,18,89,40,-1,1
87,18,86,42,-1,1
87,18,88,86,-1,1
89,40,88,86,1,1
138,41,140,42,-1,-1
138,41,140,133,-1,1
138,41,140,139,-1,1
86,42,88,86,1,1
140,42,140,133,-1,1
140,42,140,139,-1,1
143,57,143,125,-1,-1
143,57,143,142,-1,1
143,125,143,142,-1,1
130,131,132,133,1,1
140,133,140,139,1,1
