row1,col1,row2,col2,event_type1,event_type2
17,1,17,2,1,-1
17,1,19,13,1,3
17,1,19,15,1,1
30,1,30,3,-1,-1
30,1,30,13,-1,3
30,1,28,27,-1,1
30,1,30,34,-1,1
68,1,66,34,-1,-1
68,1,66,39,-1,1
68,1,67,59,-1,1
88,1,87,15,-1,1
88,1,90,33,-1,-1
88,1,89,71,-1,1
88,1,90,93,-1,1
98,1,100,12,1,-1
98,1,97,81,1,3
98,1,96,82,1,1
98,1,96,92,1,1
98,1,99,93,1,1
17,2,19,13,-1,3
17,2,19,15,-1,1
64,2,66,34,1,-1
64,2,66,39,1,1
106,2,108,22,1,1
106,2,106,25,1,-1
106,2,108,35,1,1
106,2,108,37,1,1
106,2,105,55,1,-1
106,2,108,56,1,-1
106,2,105,59,1,-1
106,2,106,60,1,-1
106,2,106,74,1,-1
106,2,108,82,1,-1
30,3,30,13,-1,3
30,3,28,27,-1,1
30,3,30,34,-1,1
46,3,48,10,-1.5,-1
46,3,48,39,-1.5,-1
59,3,61,4,-3,-1
59,3,59,13,-3,1
59,3,59,15,-3,1
59,3,60,22,-3,-3
59,3,61,53,-3,-1
59,3,58,60,-3,1
61,4,59,13,-1,1
61,4,59,15,-1,1
61,4,60,22,-1,-3
61,4,61,53,-1,-1
79,4,77,70,-1,1
79,4,80,75,-1,1
79,4,78,77,-1,1
79,4,78,81,-1,3
110,4,109,9,-1,1
110,4,108,22,-1,1
110,4,108,35,-1,1
110,4,108,37,-1,1
110,4,108,56,-1,-1
110,4,110,81,-1,-1
110,4,108,82,-1,-1
109,9,108,22,1,1
109,9,108,35,1,1
109,9,108,37,1,1
109,9,108,56,1,-1
109,9,110,81,1,-1
109,9,108,82,1,-1
39,10,39,11,1,1
39,10,40,12,1,-1
39,10,41,13,1,-1
48,10,48,39,-1,-1
48,10,49,54,-1,1
39,11,40,12,1,-1
39,11,41,13,1,-1
40,12,41,13,-1,-1
40,12,42,34,-1,1
100,12,101,30,-1,-1
100,12,101,85,-1,1
100,12,99,93,-1,1
19,13,19,15,3,1
30,13,28,27,3,1
30,13,30,34,3,1
41,13,42,34,-1,1
59,13,59,15,1,1
59,13,60,22,1,-3
59,13,61,53,1,-1
59,13,58,60,1,1
59,15,60,22,1,-3
59,15,61,53,1,-1
59,15,58,60,1,1
87,15,85,24,1,-1
87,15,89,71,1,1
60,22,61,53,-3,-1
60,22,58,60,-3,1
108,22,106,25,1,-1
108,22,108,35,1,1
108,22,108,37,1,1
108,22,108,56,1,-1
108,22,106,60,1,-1
108,22,106,74,1,-1
108,22,110,81,1,-1
108,22,108,82,1,-1
27,24,28,27,1,1
27,24,26,30,1,1
24,25,26,30,1,1
106,25,108,35,-1,1
106,25,108,37,-1,1
106,25,105,55,-1,-1
106,25,108,56,-1,-1
106,25,105,59,-1,-1
106,25,106,60,-1,-1
106,25,106,74,-1,-1
106,25,108,82,-1,-1
28,27,26,30,1,1
28,27,30,34,1,1
76,27,76,69,-1,1
76,27,77,70,-1,1
76,27,74,75,-1,1
76,27,78,77,-1,1
76,27,78,81,-1,3
101,30,101,85,-1,1
101,30,99,93,-1,1
90,33,89,71,-1,1
90,33,91,74,-1,1
90,33,90,93,-1,1
90,33,91,95,-1,1
90,33,91,96,-1,1
66,34,66,39,-1,1
66,34,67,59,-1,1
82,34,80,75,-1,1
108,35,108,37,1,1
108,35,108,56,1,-1
108,35,106,60,1,-1
108,35,106,74,1,-1
108,35,110,81,1,-1
108,35,108,82,1,-1
72,37,74,75,1,1
108,37,108,56,1,-1
108,37,106,60,1,-1
108,37,106,74,1,-1
108,37,110,81,1,-1
108,37,108,82,1,-1
48,39,49,54,-1,1
66,39,67,59,1,1
52,52,51,55,1,1
52,52,53,56,1,3
52,52,52,57,1,3
52,52,54,59,1,1
49,54,51,55,1,1
51,55,53,56,1,3
51,55,52,57,1,3
105,55,105,59,-1,-1
105,55,106,60,-1,-1
105,55,106,74,-1,-1
53,56,52,57,3,3
53,56,54,59,3,1
108,56,106,60,-1,-1
108,56,106,74,-1,-1
108,56,110,81,-1,-1
108,56,108,82,-1,-1
52,57,54,59,3,1
105,59,106,60,-1,-1
105,59,106,74,-1,-1
106,60,106,74,-1,-1
106,60,108,82,-1,-1
76,69,77,70,1,1
76,69,74,75,1,1
76,69,78,77,1,1
76,69,78,81,1,3
77,70,78,77,1,1
77,70,78,81,1,3
89,71,91,74,1,1
89,71,90,93,1,1
89,71,91,95,1,1
89,71,91,96,1,1
91,74,90,93,1,1
91,74,91,95,1,1
91,74,91,96,1,1
106,74,108,82,-1,-1
80,75,78,77,1,1
80,75,78,81,1,3
78,77,78,81,1,3
97,81,96,82,3,1
97,81,96,92,3,1
97,81,99,93,3,1
110,81,108,82,-1,-1
96,82,96,92,1,1
101,85,99,93,1,1
90,93,91,95,1,1
90,93,91,96,1,1
91,95,91,96,1,1
