V1
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,2
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.5
data_file,list(name = "F_wt_10mM_NaF_Rep2_rho_table.txt", size = 94672, type = "text/plain", datapath = "/tmp/Rtmp1o5yKL/a83390eb98f08ab0b615ee92/0.txt")
diverging,FALSE
dws,1
event_gap,1
height,14
I,0.25
I_length,default
linear_coeff,0.15
log_colors,FALSE
noise_length,3
numbering,TRUE
numbering_interval,5
numbering_offset,0
outfile,F_10mM_2
P,0.25
p_value,1e-04
ramp_length,40
width,14
window_size,7
ylim,0,20
