row1,col1,row2,col2,event_type1,event_type2
30,1,31,3,-1,-1
30,1,32,4,-1,-1
30,1,29,13,-1,3
30,1,29,27,-1,1
30,1,29,30,-1,1
107,1,109,9,1,1
107,1,108,22,1,1
107,1,106,25,1,-1
107,1,109,34,1,-1
107,1,108,35,1,1
107,1,109,37,1,1
107,1,105,55,1,-1
107,1,108,56,1,-3
107,1,105,59,1,-1
107,1,106,60,1,-1
107,1,109,95,1,-1
19,2,20,12,-1,1
19,2,19,13,-1,3
19,2,21,15,-1,1
19,2,21,16,-1,1
64,2,62,4,1,-1
64,2,62,25,1,1
64,2,64,34,1,-1
64,2,66,39,1,1
64,2,63,54,1,-1
104,2,102,12,1,-1
104,2,106,25,1,-1
104,2,105,55,1,-1
104,2,105,59,1,-1
104,2,106,60,1,-1
104,2,102,75,1,1
104,2,103,77,1,1
104,2,103,85,1,1
31,3,32,4,-1,-1
31,3,29,13,-1,3
31,3,29,27,-1,1
31,3,29,30,-1,1
31,3,33,34,-1,1
60,3,62,4,-3,-1
60,3,59,13,-3,-1.5
60,3,59,15,-3,1
60,3,60,22,-3,-3
60,3,62,25,-3,1
60,3,58,59,-3,3
60,3,59,60,-3,3
67,3,68,10,-3,-1
67,3,66,39,-3,1
82,3,80,81,1,3
98,3,96,54,-1,-1
98,3,98,56,-1,-3
98,3,96,81,-1,3
98,3,96,82,-1,1
98,3,96,92,-1,1
98,3,96,93,-1,3
32,4,33,34,-1,1
42,4,41,13,1,-1
42,4,40,16,1,-1
42,4,40,39,1,1
49,4,50,38,1,-1
49,4,50,39,1,-1
62,4,60,22,-1,-3
62,4,62,25,-1,1
62,4,64,34,-1,-1
62,4,63,54,-1,-1
79,4,77,27,-1,-1
79,4,77,70,-1,1
79,4,78,77,-1,1
79,4,80,81,-1,3
109,9,108,22,1,1
109,9,110,33,1,-1
109,9,109,34,1,-1
109,9,108,35,1,1
109,9,109,37,1,1
109,9,108,56,1,-3
109,9,110,81,1,-1
109,9,109,95,1,-1
39,10,39,11,1,1
39,10,41,13,1,-1
39,10,40,16,1,-1
39,10,40,39,1,1
68,10,66,39,-1,1
39,11,41,13,1,-1
39,11,40,16,1,-1
39,11,40,39,1,1
20,12,19,13,1,3
20,12,21,15,1,1
20,12,21,16,1,1
102,12,102,75,-1,1
102,12,103,77,-1,1
102,12,103,85,-1,1
19,13,21,15,3,1
19,13,21,16,3,1
29,13,27,24,3,1
29,13,29,27,3,1
29,13,29,30,3,1
41,13,40,16,-1,-1
41,13,40,39,-1,1
59,13,59,15,-1.5,1
59,13,60,22,-1.5,-3
59,13,58,59,-1.5,3
59,13,59,60,-1.5,3
21,15,21,16,1,1
59,15,60,22,1,-3
59,15,58,59,1,3
59,15,59,60,1,3
88,15,86,24,1,-1
88,15,86,34,1,-1
88,15,86,38,1,-1
88,15,89,71,1,1
88,15,86,74,1,1
40,16,40,39,-1,1
60,22,62,25,-3,1
60,22,58,59,-3,3
60,22,59,60,-3,3
108,22,106,25,1,-1
108,22,110,33,1,-1
108,22,109,34,1,-1
108,22,108,35,1,1
108,22,109,37,1,1
108,22,108,56,1,-3
108,22,106,60,1,-1
108,22,110,81,1,-1
108,22,109,95,1,-1
27,24,29,27,1,1
27,24,29,30,1,1
86,24,86,34,-1,-1
86,24,86,38,-1,-1
86,24,86,74,-1,1
62,25,64,34,1,-1
62,25,63,54,1,-1
106,25,108,35,-1,1
106,25,105,55,-1,-1
106,25,108,56,-1,-3
106,25,105,59,-1,-1
106,25,106,60,-1,-1
29,27,29,30,1,1
77,27,76,69,-1,1
77,27,77,70,-1,1
77,27,75,75,-1,1
77,27,78,77,-1,1
91,33,89,71,-1,1
110,33,109,34,-1,-1
110,33,108,35,-1,1
110,33,109,37,-1,1
110,33,108,56,-1,-3
110,33,110,81,-1,-1
110,33,109,95,-1,-1
54,34,52,52,-1,1
54,34,52,53,-1,1
54,34,53,54,-1,1
54,34,54,55,-1,1
54,34,55,56,-1,3
54,34,56,57,-1,1
64,34,66,39,-1,1
64,34,63,54,-1,-1
86,34,86,38,-1,-1
86,34,86,74,-1,1
109,34,108,35,-1,1
109,34,109,37,-1,1
109,34,108,56,-1,-3
109,34,110,81,-1,-1
109,34,109,95,-1,-1
108,35,109,37,1,1
108,35,108,56,1,-3
108,35,106,60,1,-1
108,35,110,81,1,-1
108,35,109,95,1,-1
72,37,71,54,1,-1
72,37,72,56,1,3
72,37,73,74,1,1
109,37,108,56,1,-3
109,37,110,81,1,-1
109,37,109,95,1,-1
50,38,50,39,-1,-1
50,38,52,52,-1,1
50,38,52,53,-1,1
86,38,86,74,-1,1
50,39,52,52,-1,1
50,39,52,53,-1,1
52,52,52,53,1,1
52,52,53,54,1,1
52,52,54,55,1,1
52,53,53,54,1,1
52,53,54,55,1,1
53,54,54,55,1,1
53,54,55,56,1,3
71,54,72,56,-1,3
71,54,73,74,-1,1
96,54,98,56,-1,-3
96,54,96,81,-1,3
96,54,96,82,-1,1
96,54,96,92,-1,1
96,54,96,93,-1,3
96,54,95,96,-1,1
54,55,55,56,1,3
54,55,56,57,1,1
105,55,105,59,-1,-1
105,55,106,60,-1,-1
105,55,103,77,-1,1
105,55,103,85,-1,1
55,56,56,57,3,1
72,56,73,74,3,1
98,56,96,81,-3,3
98,56,96,82,-3,1
98,56,96,92,-3,1
98,56,96,93,-3,3
108,56,106,60,-3,-1
108,56,110,81,-3,-1
108,56,109,95,-3,-1
56,57,58,59,1,3
58,59,59,60,3,3
105,59,106,60,-1,-1
105,59,103,77,-1,1
105,59,103,85,-1,1
76,69,77,70,1,1
76,69,75,75,1,1
76,69,78,77,1,1
77,70,75,75,1,1
77,70,78,77,1,1
73,74,75,75,1,1
102,75,103,77,1,1
102,75,103,85,1,1
78,77,80,81,1,3
103,77,103,85,1,1
96,81,96,82,3,1
96,81,96,92,3,1
96,81,96,93,3,3
96,81,95,96,3,1
110,81,109,95,-1,-1
96,82,96,92,1,1
96,82,96,93,1,3
96,82,95,96,1,1
96,92,96,93,1,3
96,92,95,96,1,1
96,93,95,96,3,1
