row1,col1,row2,col2,event_type1,event_type2
29,1,29,13,-1,3
29,1,29,30,-1,1
49,3,49,39,-1.5,-1
61,3,61,4,-3,-1
61,3,60,15,-3,1
61,3,61,22,-3,-3
61,3,61,25,-3,1
61,4,60,15,-1,1
61,4,61,22,-1,-3
61,4,61,25,-1,1
39,10,39,11,1,1
39,10,39,34,1,1
39,11,39,34,1,1
108,12,109,30,-1,-1
108,12,109,59,-1,-1
26,13,27,24,3,1
29,13,29,30,3,1
23,15,23,16,1,1
23,15,24,25,1,1
60,15,61,22,1,-3
60,15,61,25,1,1
23,16,24,25,1,1
61,22,61,25,-3,1
105,25,106,26,-1,-1
102,30,101,73,-1,1
102,30,101,75,-1,1
109,30,109,59,-1,-1
72,33,71,56,1,3
53,54,54,55,1,1
54,55,55,56,1,3
75,69,75,75,1,1
79,70,80,81,1,1
101,73,101,75,1,1
