V1
agreement,3
axis_label_resize,1
box_resize,1
column_display,2
concurrent_distance,1
concurrent_ramps,FALSE
concurrent_swings,TRUE
custom_columns,1,11,16,26,57
D,0.3
data_file,list(name = c("F_wt_10mM_NaF_Rep1_rho_table.txt", "F_wt_10mM_NaF_Rep2_rho_table.txt", "F_wt_10mM_NaF_Rep3_rho_table.txt"), size = c(94348, 94672, 92869), type = c("text/plain", "text/plain", "text/plain"), datapath = c("C:\\Users\\Xuebert\\AppData\\Local\\Temp\\RtmpYtv61R/02b0b74e1c6f3116a2bfe7d3/0.txt", "C:\\Users\\Xuebert\\AppData\\Local\\Temp\\RtmpYtv61R/02b0b74e1c6f3116a2bfe7d3/1.txt", "C:\\Users\\Xuebert\\AppData\\Local\\Temp\\RtmpYtv61R/02b0b74e1c6f3116a2bfe7d3/2.txt"))
diverging,FALSE
dws,1.25
event_gap,1
height,14
I,0.05
I_length,default
linear_coeff,0.15
log_colors,FALSE
noise_length,4
numbering,TRUE
numbering_interval,5
numbering_offset,20
optimize,0
outfile,F_10mM_optimized
P,0.025
p_value,1e-04
print_replicate,FALSE
ramp_length,30
width,14
window_size,9
ylim,0,20
