row1,col1,row2,col2,event_type1,event_type2
39,1,39,18,-1,-1
39,1,39,28,-1,1
39,1,38,38,-1,1
39,1,37,40,-1,3
39,1,37,41,-1,3
39,1,39,42,-1,3
98,1,99,11,1,-1
98,1,97,14,1,-1
98,1,98,15,1,-1
98,1,98,17,1,-1
98,1,97,18,1,-1
98,1,98,42,1,3
98,1,97,59,1,1
98,1,99,71,1,1
98,1,96,97,1,3
117,1,117,2,-1,-1
117,1,116,110,-1,1
117,1,117,120,-1,1
117,1,119,121,-1,1
103,2,105,97,1,3
117,2,116,110,-1,1
117,2,117,120,-1,1
117,2,119,121,-1,1
135,2,136,38,-1,-1
135,2,136,112,-1,1
135,2,137,125,-1,-1
68,11,66,14,-1,-1
68,11,69,31,-1,1
68,11,66,36,-1,1
68,11,66,38,-1,1
99,11,97,14,-1,-1
99,11,98,15,-1,-1
99,11,98,17,-1,-1
99,11,97,18,-1,-1
99,11,98,42,-1,3
99,11,97,59,-1,1
99,11,99,71,-1,1
66,14,66,36,-1,1
66,14,65,37,-1,1
66,14,66,38,-1,1
97,14,98,15,-1,-1
97,14,98,17,-1,-1
97,14,97,18,-1,-1
97,14,98,42,-1,3
97,14,95,58,-1,1
97,14,97,59,-1,1
97,14,99,71,-1,1
97,14,96,97,-1,3
24,15,26,18,1,1
24,15,25,27,1,1
98,15,98,17,-1,-1
98,15,97,18,-1,-1
98,15,98,42,-1,3
98,15,97,59,-1,1
98,15,99,71,-1,1
98,15,96,97,-1,3
86,17,86,18,1,1
86,17,88,26,1,-1
86,17,88,27,1,-1
86,17,88,28,1,-1
86,17,86,86,1,3
98,17,97,18,-1,-1
98,17,98,42,-1,3
98,17,97,59,-1,1
98,17,99,71,-1,1
98,17,96,97,-1,3
145,17,144,149,1,1
26,18,25,27,1,1
39,18,39,28,-1,1
39,18,38,38,-1,1
39,18,37,40,-1,3
39,18,37,41,-1,3
39,18,39,42,-1,3
77,18,77,27,1,1
77,18,79,29,1,-1
77,18,78,31,1,-1
77,18,75,36,1,-1
77,18,75,58,1,1
77,18,77,59,1,1
86,18,88,26,1,-1
86,18,88,27,1,-1
86,18,88,28,1,-1
86,18,86,86,1,3
97,18,98,42,-1,3
97,18,95,58,-1,1
97,18,97,59,-1,1
97,18,99,71,-1,1
97,18,96,97,-1,3
88,26,88,27,-1,-1
88,26,88,28,-1,-1
88,26,89,57,-1,3
88,26,86,86,-1,3
77,27,79,29,1,-1
77,27,78,31,1,-1
77,27,75,36,1,-1
77,27,75,58,1,1
77,27,77,59,1,1
88,27,88,28,-1,-1
88,27,89,57,-1,3
88,27,86,86,-1,3
29,28,29,31,1,1
29,28,31,32,1,1
39,28,38,38,1,1
39,28,37,40,1,3
39,28,37,41,1,3
39,28,39,42,1,3
80,28,79,29,-1,-1
80,28,78,31,-1,-1
88,28,89,57,-1,3
88,28,86,86,-1,3
49,29,47,40,1,3
79,29,78,31,-1,-1
79,29,77,59,-1,1
113,29,112,84,-1,-1
113,29,113,96,-1,1
113,29,114,114,-1,1
29,31,31,32,1,1
69,31,71,57,1,3
78,31,77,59,-1,1
66,36,65,37,1,1
66,36,66,38,1,1
75,36,74,37,-1,-1
75,36,75,58,-1,1
75,36,77,59,-1,1
65,37,66,38,1,1
65,37,63,42,1,3
74,37,75,58,-1,1
38,38,37,40,1,3
38,38,37,41,1,3
38,38,39,42,1,3
136,38,138,42,-1,-1
136,38,136,112,-1,1
136,38,137,125,-1,-1
37,40,37,41,3,3
37,40,39,42,3,3
47,40,45,41,3,3
47,40,45,42,3,3
62,40,63,42,3,3
128,40,129,120,-1,-1
128,40,128,127,-1,1
128,40,129,128,-1,1
128,40,126,131,-1,1
128,40,129,133,-1,1
37,41,39,42,3,3
45,41,45,42,3,3
98,42,97,59,3,1
98,42,99,71,3,1
98,42,96,97,3,3
138,42,140,57,-1,-1
138,42,136,112,-1,1
138,42,137,125,-1,-1
138,42,140,128,-1,-1
138,42,140,130,-1,-1
140,57,142,126,-1,1
140,57,140,128,-1,-1
140,57,140,130,-1,-1
75,58,77,59,1,1
95,58,97,59,1,1
95,58,94,96,1,1
95,58,96,97,1,3
97,59,99,71,1,1
97,59,96,97,1,3
112,84,113,96,-1,1
112,84,114,114,-1,1
106,86,105,97,3,3
94,96,96,97,1,3
113,96,114,114,1,1
116,110,114,114,1,1
116,110,117,120,1,1
136,112,137,125,1,-1
124,117,122,125,1,1
124,117,122,126,1,1
124,117,126,131,1,1
117,120,119,121,1,1
129,120,128,127,-1,1
129,120,129,128,-1,1
129,120,129,133,-1,1
119,121,120,123,1,1
120,123,122,125,1,1
120,123,122,126,1,1
122,125,122,126,1,1
142,126,140,128,1,-1
142,126,140,130,1,-1
142,126,144,149,1,1
128,127,129,128,1,1
128,127,126,131,1,1
128,127,129,133,1,1
129,128,129,133,1,1
140,128,140,130,-1,-1
